String_Type,L_value,Irreducible_Count,LZ77_z,Theoretical_Max_Bound
DNA,1,1,16,1052.7152913275604
Worst-Case,1,7,327,21514.868766507014
DNA,2,2,16,1052.7152913275604
Worst-Case,2,110,327,21514.868766507014
DNA,3,2,16,1052.7152913275604
Worst-Case,3,220,327,21514.868766507014
DNA,4,1,16,1052.7152913275604
Worst-Case,4,394,327,21514.868766507014
DNA,5,0,16,1052.7152913275604
Worst-Case,5,1059,327,21514.868766507014
DNA,6,0,16,1052.7152913275604
Worst-Case,6,972,327,21514.868766507014
DNA,7,0,16,1052.7152913275604
Worst-Case,7,919,327,21514.868766507014
DNA,8,0,16,1052.7152913275604
Worst-Case,8,717,327,21514.868766507014
DNA,9,0,16,1052.7152913275604
Worst-Case,9,0,327,21514.868766507014
DNA,10,0,16,1052.7152913275604
Worst-Case,10,0,327,21514.868766507014
DNA,11,0,16,1052.7152913275604
Worst-Case,11,0,327,21514.868766507014
DNA,12,0,16,1052.7152913275604
Worst-Case,12,0,327,21514.868766507014
DNA,13,0,16,1052.7152913275604
Worst-Case,13,0,327,21514.868766507014
DNA,14,0,16,1052.7152913275604
Worst-Case,14,0,327,21514.868766507014
DNA,15,0,16,1052.7152913275604
Worst-Case,15,0,327,21514.868766507014
DNA,16,0,16,1052.7152913275604
Worst-Case,16,0,327,21514.868766507014
DNA,17,0,16,1052.7152913275604
Worst-Case,17,0,327,21514.868766507014
DNA,18,0,16,1052.7152913275604
Worst-Case,18,0,327,21514.868766507014
DNA,19,0,16,1052.7152913275604
Worst-Case,19,0,327,21514.868766507014
DNA,20,0,16,1052.7152913275604
Worst-Case,20,0,327,21514.868766507014
DNA,21,0,16,1052.7152913275604
Worst-Case,21,0,327,21514.868766507014
DNA,22,0,16,1052.7152913275604
Worst-Case,22,0,327,21514.868766507014
DNA,23,0,16,1052.7152913275604
Worst-Case,23,0,327,21514.868766507014
DNA,24,0,16,1052.7152913275604
Worst-Case,24,0,327,21514.868766507014
DNA,25,0,16,1052.7152913275604
Worst-Case,25,0,327,21514.868766507014
DNA,26,0,16,1052.7152913275604
Worst-Case,26,0,327,21514.868766507014
DNA,27,0,16,1052.7152913275604
Worst-Case,27,0,327,21514.868766507014
DNA,28,0,16,1052.7152913275604
Worst-Case,28,0,327,21514.868766507014
DNA,29,0,16,1052.7152913275604
Worst-Case,29,0,327,21514.868766507014
DNA,30,0,16,1052.7152913275604
Worst-Case,30,0,327,21514.868766507014
DNA,31,0,16,1052.7152913275604
Worst-Case,31,0,327,21514.868766507014
DNA,32,0,16,1052.7152913275604
Worst-Case,32,0,327,21514.868766507014
DNA,33,0,16,1052.7152913275604
Worst-Case,33,0,327,21514.868766507014
DNA,34,0,16,1052.7152913275604
Worst-Case,34,0,327,21514.868766507014
DNA,35,0,16,1052.7152913275604
Worst-Case,35,0,327,21514.868766507014
DNA,36,0,16,1052.7152913275604
Worst-Case,36,0,327,21514.868766507014
DNA,37,0,16,1052.7152913275604
Worst-Case,37,0,327,21514.868766507014
DNA,38,0,16,1052.7152913275604
Worst-Case,38,0,327,21514.868766507014
DNA,39,0,16,1052.7152913275604
Worst-Case,39,0,327,21514.868766507014
DNA,40,0,16,1052.7152913275604
Worst-Case,40,0,327,21514.868766507014
DNA,41,0,16,1052.7152913275604
Worst-Case,41,0,327,21514.868766507014
DNA,42,0,16,1052.7152913275604
Worst-Case,42,0,327,21514.868766507014
DNA,43,0,16,1052.7152913275604
Worst-Case,43,0,327,21514.868766507014
DNA,44,0,16,1052.7152913275604
Worst-Case,44,0,327,21514.868766507014
DNA,45,0,16,1052.7152913275604
Worst-Case,45,0,327,21514.868766507014
DNA,46,0,16,1052.7152913275604
Worst-Case,46,0,327,21514.868766507014
DNA,47,0,16,1052.7152913275604
Worst-Case,47,0,327,21514.868766507014
DNA,48,0,16,1052.7152913275604
Worst-Case,48,0,327,21514.868766507014
DNA,49,0,16,1052.7152913275604
Worst-Case,49,0,327,21514.868766507014
DNA,50,0,16,1052.7152913275604
Worst-Case,50,0,327,21514.868766507014
DNA,51,0,16,1052.7152913275604
Worst-Case,51,0,327,21514.868766507014
DNA,52,0,16,1052.7152913275604
Worst-Case,52,0,327,21514.868766507014
DNA,53,0,16,1052.7152913275604
Worst-Case,53,0,327,21514.868766507014
DNA,54,0,16,1052.7152913275604
Worst-Case,54,0,327,21514.868766507014
DNA,55,0,16,1052.7152913275604
Worst-Case,55,0,327,21514.868766507014
DNA,56,0,16,1052.7152913275604
Worst-Case,56,0,327,21514.868766507014
DNA,57,0,16,1052.7152913275604
Worst-Case,57,0,327,21514.868766507014
DNA,58,0,16,1052.7152913275604
Worst-Case,58,0,327,21514.868766507014
DNA,59,0,16,1052.7152913275604
Worst-Case,59,0,327,21514.868766507014
DNA,60,0,16,1052.7152913275604
Worst-Case,60,0,327,21514.868766507014
DNA,61,0,16,1052.7152913275604
Worst-Case,61,0,327,21514.868766507014
DNA,62,0,16,1052.7152913275604
Worst-Case,62,0,327,21514.868766507014
DNA,63,0,16,1052.7152913275604
Worst-Case,63,0,327,21514.868766507014
DNA,64,0,16,1052.7152913275604
Worst-Case,64,0,327,21514.868766507014
DNA,65,0,16,1052.7152913275604
Worst-Case,65,0,327,21514.868766507014
DNA,66,0,16,1052.7152913275604
Worst-Case,66,0,327,21514.868766507014
DNA,67,0,16,1052.7152913275604
Worst-Case,67,0,327,21514.868766507014
DNA,68,0,16,1052.7152913275604
Worst-Case,68,0,327,21514.868766507014
DNA,69,0,16,1052.7152913275604
Worst-Case,69,0,327,21514.868766507014
DNA,70,0,16,1052.7152913275604
Worst-Case,70,0,327,21514.868766507014
DNA,71,0,16,1052.7152913275604
Worst-Case,71,0,327,21514.868766507014
DNA,72,0,16,1052.7152913275604
Worst-Case,72,0,327,21514.868766507014
DNA,73,0,16,1052.7152913275604
Worst-Case,73,0,327,21514.868766507014
DNA,74,0,16,1052.7152913275604
Worst-Case,74,0,327,21514.868766507014
DNA,75,0,16,1052.7152913275604
Worst-Case,75,0,327,21514.868766507014
DNA,76,0,16,1052.7152913275604
Worst-Case,76,0,327,21514.868766507014
DNA,77,0,16,1052.7152913275604
Worst-Case,77,0,327,21514.868766507014
DNA,78,0,16,1052.7152913275604
Worst-Case,78,0,327,21514.868766507014
DNA,79,0,16,1052.7152913275604
Worst-Case,79,0,327,21514.868766507014
DNA,80,0,16,1052.7152913275604
Worst-Case,80,0,327,21514.868766507014
DNA,81,0,16,1052.7152913275604
Worst-Case,81,0,327,21514.868766507014
DNA,82,0,16,1052.7152913275604
Worst-Case,82,0,327,21514.868766507014
DNA,83,0,16,1052.7152913275604
Worst-Case,83,0,327,21514.868766507014
DNA,84,0,16,1052.7152913275604
Worst-Case,84,0,327,21514.868766507014
DNA,85,0,16,1052.7152913275604
Worst-Case,85,0,327,21514.868766507014
DNA,86,0,16,1052.7152913275604
Worst-Case,86,0,327,21514.868766507014
DNA,87,0,16,1052.7152913275604
Worst-Case,87,0,327,21514.868766507014
DNA,88,0,16,1052.7152913275604
Worst-Case,88,0,327,21514.868766507014
DNA,89,0,16,1052.7152913275604
Worst-Case,89,0,327,21514.868766507014
DNA,90,0,16,1052.7152913275604
Worst-Case,90,0,327,21514.868766507014
DNA,91,0,16,1052.7152913275604
Worst-Case,91,0,327,21514.868766507014
DNA,92,0,16,1052.7152913275604
Worst-Case,92,0,327,21514.868766507014
DNA,93,0,16,1052.7152913275604
Worst-Case,93,0,327,21514.868766507014
DNA,94,0,16,1052.7152913275604
Worst-Case,94,0,327,21514.868766507014
DNA,95,0,16,1052.7152913275604
Worst-Case,95,0,327,21514.868766507014
DNA,96,0,16,1052.7152913275604
Worst-Case,96,0,327,21514.868766507014
DNA,97,0,16,1052.7152913275604
Worst-Case,97,0,327,21514.868766507014
DNA,98,0,16,1052.7152913275604
Worst-Case,98,0,327,21514.868766507014
DNA,99,0,16,1052.7152913275604
Worst-Case,99,0,327,21514.868766507014
DNA,100,0,16,1052.7152913275604
Worst-Case,100,0,327,21514.868766507014
DNA,101,0,16,1052.7152913275604
Worst-Case,101,0,327,21514.868766507014
DNA,102,0,16,1052.7152913275604
Worst-Case,102,0,327,21514.868766507014
DNA,103,0,16,1052.7152913275604
Worst-Case,103,0,327,21514.868766507014
DNA,104,0,16,1052.7152913275604
Worst-Case,104,0,327,21514.868766507014
DNA,105,0,16,1052.7152913275604
Worst-Case,105,0,327,21514.868766507014
DNA,106,0,16,1052.7152913275604
Worst-Case,106,0,327,21514.868766507014
DNA,107,0,16,1052.7152913275604
Worst-Case,107,0,327,21514.868766507014
DNA,108,0,16,1052.7152913275604
Worst-Case,108,0,327,21514.868766507014
DNA,109,0,16,1052.7152913275604
Worst-Case,109,0,327,21514.868766507014
DNA,110,0,16,1052.7152913275604
Worst-Case,110,0,327,21514.868766507014
DNA,111,0,16,1052.7152913275604
Worst-Case,111,0,327,21514.868766507014
DNA,112,0,16,1052.7152913275604
Worst-Case,112,0,327,21514.868766507014
DNA,113,0,16,1052.7152913275604
Worst-Case,113,0,327,21514.868766507014
DNA,114,0,16,1052.7152913275604
Worst-Case,114,0,327,21514.868766507014
DNA,115,0,16,1052.7152913275604
Worst-Case,115,0,327,21514.868766507014
DNA,116,0,16,1052.7152913275604
Worst-Case,116,0,327,21514.868766507014
DNA,117,0,16,1052.7152913275604
Worst-Case,117,0,327,21514.868766507014
DNA,118,0,16,1052.7152913275604
Worst-Case,118,0,327,21514.868766507014
DNA,119,0,16,1052.7152913275604
Worst-Case,119,0,327,21514.868766507014
DNA,120,0,16,1052.7152913275604
Worst-Case,120,0,327,21514.868766507014
DNA,121,0,16,1052.7152913275604
Worst-Case,121,0,327,21514.868766507014
DNA,122,0,16,1052.7152913275604
Worst-Case,122,0,327,21514.868766507014
DNA,123,0,16,1052.7152913275604
Worst-Case,123,0,327,21514.868766507014
DNA,124,0,16,1052.7152913275604
Worst-Case,124,0,327,21514.868766507014
DNA,125,0,16,1052.7152913275604
Worst-Case,125,0,327,21514.868766507014
DNA,126,0,16,1052.7152913275604
Worst-Case,126,0,327,21514.868766507014
DNA,127,0,16,1052.7152913275604
Worst-Case,127,0,327,21514.868766507014
DNA,128,0,16,1052.7152913275604
Worst-Case,128,0,327,21514.868766507014
DNA,129,0,16,1052.7152913275604
Worst-Case,129,0,327,21514.868766507014
DNA,130,0,16,1052.7152913275604
Worst-Case,130,0,327,21514.868766507014
DNA,131,0,16,1052.7152913275604
Worst-Case,131,0,327,21514.868766507014
DNA,132,0,16,1052.7152913275604
Worst-Case,132,0,327,21514.868766507014
DNA,133,0,16,1052.7152913275604
Worst-Case,133,0,327,21514.868766507014
DNA,134,0,16,1052.7152913275604
Worst-Case,134,0,327,21514.868766507014
DNA,135,0,16,1052.7152913275604
Worst-Case,135,0,327,21514.868766507014
DNA,136,0,16,1052.7152913275604
Worst-Case,136,0,327,21514.868766507014
DNA,137,0,16,1052.7152913275604
Worst-Case,137,0,327,21514.868766507014
DNA,138,0,16,1052.7152913275604
Worst-Case,138,0,327,21514.868766507014
DNA,139,0,16,1052.7152913275604
Worst-Case,139,0,327,21514.868766507014
DNA,140,0,16,1052.7152913275604
Worst-Case,140,0,327,21514.868766507014
DNA,141,0,16,1052.7152913275604
Worst-Case,141,0,327,21514.868766507014
DNA,142,0,16,1052.7152913275604
Worst-Case,142,0,327,21514.868766507014
DNA,143,0,16,1052.7152913275604
Worst-Case,143,0,327,21514.868766507014
DNA,144,0,16,1052.7152913275604
Worst-Case,144,0,327,21514.868766507014
DNA,145,0,16,1052.7152913275604
Worst-Case,145,0,327,21514.868766507014
DNA,146,0,16,1052.7152913275604
Worst-Case,146,0,327,21514.868766507014
DNA,147,0,16,1052.7152913275604
Worst-Case,147,0,327,21514.868766507014
DNA,148,0,16,1052.7152913275604
Worst-Case,148,0,327,21514.868766507014
DNA,149,0,16,1052.7152913275604
Worst-Case,149,0,327,21514.868766507014
DNA,150,0,16,1052.7152913275604
Worst-Case,150,0,327,21514.868766507014
DNA,151,0,16,1052.7152913275604
Worst-Case,151,0,327,21514.868766507014
DNA,152,0,16,1052.7152913275604
Worst-Case,152,0,327,21514.868766507014
DNA,153,0,16,1052.7152913275604
Worst-Case,153,0,327,21514.868766507014
DNA,154,0,16,1052.7152913275604
Worst-Case,154,0,327,21514.868766507014
DNA,155,0,16,1052.7152913275604
Worst-Case,155,0,327,21514.868766507014
DNA,156,0,16,1052.7152913275604
Worst-Case,156,0,327,21514.868766507014
DNA,157,0,16,1052.7152913275604
Worst-Case,157,0,327,21514.868766507014
DNA,158,0,16,1052.7152913275604
Worst-Case,158,0,327,21514.868766507014
DNA,159,0,16,1052.7152913275604
Worst-Case,159,0,327,21514.868766507014
DNA,160,0,16,1052.7152913275604
Worst-Case,160,0,327,21514.868766507014
DNA,161,0,16,1052.7152913275604
Worst-Case,161,0,327,21514.868766507014
DNA,162,0,16,1052.7152913275604
Worst-Case,162,0,327,21514.868766507014
DNA,163,0,16,1052.7152913275604
Worst-Case,163,0,327,21514.868766507014
DNA,164,0,16,1052.7152913275604
Worst-Case,164,0,327,21514.868766507014
DNA,165,0,16,1052.7152913275604
Worst-Case,165,0,327,21514.868766507014
DNA,166,0,16,1052.7152913275604
Worst-Case,166,0,327,21514.868766507014
DNA,167,0,16,1052.7152913275604
Worst-Case,167,0,327,21514.868766507014
DNA,168,0,16,1052.7152913275604
Worst-Case,168,0,327,21514.868766507014
DNA,169,0,16,1052.7152913275604
Worst-Case,169,0,327,21514.868766507014
DNA,170,0,16,1052.7152913275604
Worst-Case,170,0,327,21514.868766507014
DNA,171,0,16,1052.7152913275604
Worst-Case,171,0,327,21514.868766507014
DNA,172,0,16,1052.7152913275604
Worst-Case,172,0,327,21514.868766507014
DNA,173,0,16,1052.7152913275604
Worst-Case,173,0,327,21514.868766507014
DNA,174,0,16,1052.7152913275604
Worst-Case,174,0,327,21514.868766507014
DNA,175,0,16,1052.7152913275604
Worst-Case,175,0,327,21514.868766507014
DNA,176,0,16,1052.7152913275604
Worst-Case,176,0,327,21514.868766507014
DNA,177,0,16,1052.7152913275604
Worst-Case,177,0,327,21514.868766507014
DNA,178,0,16,1052.7152913275604
Worst-Case,178,0,327,21514.868766507014
DNA,179,0,16,1052.7152913275604
Worst-Case,179,0,327,21514.868766507014
DNA,180,0,16,1052.7152913275604
Worst-Case,180,0,327,21514.868766507014
DNA,181,0,16,1052.7152913275604
Worst-Case,181,0,327,21514.868766507014
DNA,182,0,16,1052.7152913275604
Worst-Case,182,0,327,21514.868766507014
DNA,183,0,16,1052.7152913275604
Worst-Case,183,0,327,21514.868766507014
DNA,184,0,16,1052.7152913275604
Worst-Case,184,0,327,21514.868766507014
DNA,185,0,16,1052.7152913275604
Worst-Case,185,0,327,21514.868766507014
DNA,186,0,16,1052.7152913275604
Worst-Case,186,0,327,21514.868766507014
DNA,187,0,16,1052.7152913275604
Worst-Case,187,0,327,21514.868766507014
DNA,188,0,16,1052.7152913275604
Worst-Case,188,0,327,21514.868766507014
DNA,189,0,16,1052.7152913275604
Worst-Case,189,0,327,21514.868766507014
DNA,190,0,16,1052.7152913275604
Worst-Case,190,0,327,21514.868766507014
DNA,191,0,16,1052.7152913275604
Worst-Case,191,0,327,21514.868766507014
DNA,192,0,16,1052.7152913275604
Worst-Case,192,0,327,21514.868766507014
DNA,193,0,16,1052.7152913275604
Worst-Case,193,0,327,21514.868766507014
DNA,194,0,16,1052.7152913275604
Worst-Case,194,0,327,21514.868766507014
DNA,195,0,16,1052.7152913275604
Worst-Case,195,0,327,21514.868766507014
DNA,196,0,16,1052.7152913275604
Worst-Case,196,0,327,21514.868766507014
DNA,197,0,16,1052.7152913275604
Worst-Case,197,0,327,21514.868766507014
DNA,198,0,16,1052.7152913275604
Worst-Case,198,0,327,21514.868766507014
DNA,199,0,16,1052.7152913275604
Worst-Case,199,0,327,21514.868766507014
DNA,200,0,16,1052.7152913275604
Worst-Case,200,0,327,21514.868766507014
DNA,201,0,16,1052.7152913275604
Worst-Case,201,0,327,21514.868766507014
DNA,202,0,16,1052.7152913275604
Worst-Case,202,0,327,21514.868766507014
DNA,203,0,16,1052.7152913275604
Worst-Case,203,0,327,21514.868766507014
DNA,204,0,16,1052.7152913275604
Worst-Case,204,0,327,21514.868766507014
DNA,205,0,16,1052.7152913275604
Worst-Case,205,0,327,21514.868766507014
DNA,206,0,16,1052.7152913275604
Worst-Case,206,0,327,21514.868766507014
DNA,207,0,16,1052.7152913275604
Worst-Case,207,0,327,21514.868766507014
DNA,208,0,16,1052.7152913275604
Worst-Case,208,0,327,21514.868766507014
DNA,209,0,16,1052.7152913275604
Worst-Case,209,0,327,21514.868766507014
DNA,210,0,16,1052.7152913275604
Worst-Case,210,0,327,21514.868766507014
DNA,211,0,16,1052.7152913275604
Worst-Case,211,0,327,21514.868766507014
DNA,212,0,16,1052.7152913275604
Worst-Case,212,0,327,21514.868766507014
DNA,213,0,16,1052.7152913275604
Worst-Case,213,0,327,21514.868766507014
DNA,214,0,16,1052.7152913275604
Worst-Case,214,0,327,21514.868766507014
DNA,215,0,16,1052.7152913275604
Worst-Case,215,0,327,21514.868766507014
DNA,216,0,16,1052.7152913275604
Worst-Case,216,0,327,21514.868766507014
DNA,217,0,16,1052.7152913275604
Worst-Case,217,0,327,21514.868766507014
DNA,218,0,16,1052.7152913275604
Worst-Case,218,0,327,21514.868766507014
DNA,219,0,16,1052.7152913275604
Worst-Case,219,0,327,21514.868766507014
DNA,220,0,16,1052.7152913275604
Worst-Case,220,0,327,21514.868766507014
DNA,221,0,16,1052.7152913275604
Worst-Case,221,0,327,21514.868766507014
DNA,222,0,16,1052.7152913275604
Worst-Case,222,0,327,21514.868766507014
DNA,223,0,16,1052.7152913275604
Worst-Case,223,0,327,21514.868766507014
DNA,224,0,16,1052.7152913275604
Worst-Case,224,0,327,21514.868766507014
DNA,225,0,16,1052.7152913275604
Worst-Case,225,0,327,21514.868766507014
DNA,226,0,16,1052.7152913275604
Worst-Case,226,0,327,21514.868766507014
DNA,227,0,16,1052.7152913275604
Worst-Case,227,0,327,21514.868766507014
DNA,228,0,16,1052.7152913275604
Worst-Case,228,0,327,21514.868766507014
DNA,229,0,16,1052.7152913275604
Worst-Case,229,0,327,21514.868766507014
DNA,230,0,16,1052.7152913275604
Worst-Case,230,0,327,21514.868766507014
DNA,231,0,16,1052.7152913275604
Worst-Case,231,0,327,21514.868766507014
DNA,232,0,16,1052.7152913275604
Worst-Case,232,0,327,21514.868766507014
DNA,233,0,16,1052.7152913275604
Worst-Case,233,0,327,21514.868766507014
DNA,234,0,16,1052.7152913275604
Worst-Case,234,0,327,21514.868766507014
DNA,235,0,16,1052.7152913275604
Worst-Case,235,0,327,21514.868766507014
DNA,236,0,16,1052.7152913275604
Worst-Case,236,0,327,21514.868766507014
DNA,237,0,16,1052.7152913275604
Worst-Case,237,0,327,21514.868766507014
DNA,238,0,16,1052.7152913275604
Worst-Case,238,0,327,21514.868766507014
DNA,239,0,16,1052.7152913275604
Worst-Case,239,0,327,21514.868766507014
DNA,240,0,16,1052.7152913275604
Worst-Case,240,0,327,21514.868766507014
DNA,241,0,16,1052.7152913275604
Worst-Case,241,0,327,21514.868766507014
DNA,242,0,16,1052.7152913275604
Worst-Case,242,0,327,21514.868766507014
DNA,243,0,16,1052.7152913275604
Worst-Case,243,0,327,21514.868766507014
DNA,244,0,16,1052.7152913275604
Worst-Case,244,0,327,21514.868766507014
DNA,245,0,16,1052.7152913275604
Worst-Case,245,0,327,21514.868766507014
DNA,246,0,16,1052.7152913275604
Worst-Case,246,0,327,21514.868766507014
DNA,247,0,16,1052.7152913275604
Worst-Case,247,0,327,21514.868766507014
DNA,248,0,16,1052.7152913275604
Worst-Case,248,0,327,21514.868766507014
DNA,249,0,16,1052.7152913275604
Worst-Case,249,0,327,21514.868766507014
DNA,250,0,16,1052.7152913275604
Worst-Case,250,0,327,21514.868766507014
DNA,251,0,16,1052.7152913275604
Worst-Case,251,0,327,21514.868766507014
